id,Pedigree,Range,Row,Rep,DTA (DAS),DTS  (DAS),PHT (in),FHT (in),EHT (in),Yield (t/ha),YieldMoist (t/ha)
CS17-G2FE-118,PHN11_OH43_0001/PHB47,6,283,1,63,64,95,71,43,8.723261712,9.248402067
CS17-G2FE-119,B73/PHZ51,6,281,1,66,68,96,79,51,10.3135365,10.9075962
CS17-G2FE-120,PHG39/TX205,6,279,1,69,69,94,78,48,10.35073591,10.96142933
CS17-G2FE-121,PHN11_PHG47_0251/PHB47,6,277,1,62,63,96,67,38,8.695362154,9.231865999
CS17-G2FE-122,LH74/PHN82,6,275,1,66,66,79,63,39,10.38793532,10.99355195
CS17-G2FE-123,LH195/LH82,6,273,1,65,66,87,66,39,10.99707567,11.59971541
CS17-G2FE-124,PHG39/PHN82,6,271,1,67,68,92,70,45,10.23448775,10.83013494
CS17-G2FE-125,F42/MO17,6,269,1,64,67,94,70,45,11.75501365,12.45208596
CS17-G2FE-126,B73/MO17,6,267,1,67,69,99,73,48,12.03865915,12.76940576
CS17-G2FE-127,PHW52/PHM49,6,265,1,68,68,91,67,45,10.77852913,11.39290529
CS17-G2FE-128,LH195/PHN37,6,263,1,64,66,93,72,45,11.57831645,12.2568058
CS17-G2FE-129,2369/PHN82,6,261,1,68,68,89,69,42,12.87099596,13.59692013
CS17-G2FE-130,F42/OH43,6,259,1,63,66,92,70,42,11.85731203,12.53317881
CS17-G2FE-131,W10001_0022/PHB47,6,257,1,62,63,84,63,43,8.941808247,9.478316742
CS17-G2FE-132,G6611 VTTP (2017),6,255,1,67,68,84,67,44,13.27553955,13.98179825
CS17-G2FE-133,W37A/PHB47,7,255,1,61,61,83,64,40,9.002257289,9.532490243
CS17-G2FE-134,PHP02/PHG47,7,257,1,62,61,87,58,33,8.235019452,8.737355639
CS17-G2FE-135,CG44/CGR01,7,259,1,58,59,74,57,35,7.030688544,7.446905306
CS17-G2FE-136,PHN11_PHW65_0323/LH195,7,261,1,67,68,85,79,42,10.54603282,11.15981193
CS17-G2FE-137,W10005_0107/PHB47,7,263,1,63,64,86,64,38,7.788626529,8.254386395
CS17-G2FE-138,LH216/LH195,7,265,1,72,69,96,72,46,12.80589699,13.54351666
CS17-G2FE-139,B73/PHM49,7,267,1,68,69,89,70,47,10.59253208,11.20160267
CS17-G2FE-140,B37/MO17,7,269,1,66,68,90,72,45,10.94592648,11.58735777
CS17-G2FE-141,LH198/PHN37,7,271,1,60,62,92,67,45,9.327752129,9.882753381
CS17-G2FE-142,VA35/LH195,7,273,1,69,68,87,71,44,10.70413031,11.25753385
CS17-G2FE-143,B37/H95,7,275,1,67,69,89,70,44,10.05779056,10.58280722
CS17-G2FE-144,DKB 64-69 (2016),7,277,1,67,67,87,67,41,13.44293689,14.13390385
CS17-G2FE-145,B73/PHN82,7,279,1,67,68,90,70,46,12.50830171,13.18500083
CS17-G2FE-146,CG60/LH162,7,281,1,,,77,59,35,3.338647073,3.566676668
CS17-G2FE-147,CGR03/CG108,7,283,1,58,59,78,61,42,8.095521663,8.574776546
CS17-G2FE-148,WF9/H95,7,285,1,65,68,91,,42,11.08077434,11.68246039
CS17-G2FE-149,PHW52/PHN82,7,287,1,67,68,88,66,39,10.96452618,11.54564607
CS17-G2FE-150,LH212HT/LH195,7,289,1,67,68,92,67,42,10.92267685,11.52997768
CS17-G2FE-151,B97/PHB47,7,291,1,64,66,86,67,42,9.509099254,10.06538156
CS17-G2FE-152,B14A/H95,7,293,1,68,68,81,64,38,11.69921453,12.26077683
CS17-G2FE-153,PHHB9/LH185,7,295,1,67,68,87,67,38,9.490499549,10.04948997
CS17-G2FE-154,PHW52/LH210,7,297,1,67,68,91,68,42,11.04357493,11.6288844
CS17-G2FE-155,PHW52/PHM57,7,299,1,70,72,90,68,39,9.364951539,9.850056029
CS17-G2FE-156,PHW52/PHR63,7,301,1,66,67,86,68,39,10.471634,11.00882882
CS17-G2FE-157,PHW52/PHR55,7,303,1,69,69,92,70,41,13.17789109,13.87104817
CS17-G2FE-158,PHV63/PHM57,7,305,1,69,68,88,68,45,10.1182396,10.62718705
CS17-G2FE-159,PHHB9/PHM57,7,307,1,70,73,91,70,42,11.89451144,12.50232097
CS17-G2FE-160,PHV63/PHP60,7,309,1,68,68,88,68,43,11.79221306,12.34173019
CS17-G2FE-161,PHP38/PHN82,7,311,1,68,68,90,67,42,9.681146527,10.15552271
CS17-G2FE-162,PHHB9/PHJ65,7,313,1,70,68,91,74,41,10.58788215,11.09080655
CS17-G2FE-163,LH195/LH210,7,315,1,69,68,96,74,49,12.26185562,12.8663651
CS17-G2FE-164,PHP38/LH185,7,317,1,67,68,87,66,42,8.132721074,8.568634923
CS17-G2FE-165,LH195/LH123HT,7,319,1,71,69,89,74,38,11.35047006,11.87713187
CS17-G2FE-166,PHV63/NK787,8,319,1,70,69,95,76,42,11.48531793,11.98263219
CS17-G2FE-167,LH195/PHJ65,8,317,1,70,72,93,75,47,12.39205355,13.04263636
CS17-G2FE-168,LH195/PHN47,8,315,1,73,73,95,72,50,12.2944051,12.8648655
CS17-G2FE-169,PHW52/PHJ65,8,313,1,69,70,91,71,43,11.80616284,12.36695557
CS17-G2FE-170,PHV63/PHR55,8,311,1,69,68,93,71,46,12.27115547,12.85403535
CS17-G2FE-171,PHHB9/PHW30,8,309,1,68,68,93,72,44,9.457950065,9.932739158
CS17-G2FE-172,PHW52/LH185,8,307,1,66,67,89,67,43,10.71808009,11.30971811
CS17-G2FE-173,PHP38/PHW53,8,305,1,67,68,84,66,45,11.06682456,11.62680588
CS17-G2FE-174,PHW52/NK787,8,303,1,69,68,92,69,43,11.47136815,12.02658237
CS17-G2FE-175,PHP38/PHJ65,8,301,1,66,68,93,68,38,11.60621601,12.17375997
CS17-G2FE-176,PHP38/Q381,8,299,1,64,65,86,62,44,7.48638132,7.898132293
CS17-G2FE-177,LH195/NK787,8,297,1,70,69,96,79,45,12.76404765,13.38693318
CS17-G2FE-178,PHV63/PHW30,8,295,1,67,67,94,74,49,10.83897817,11.44054146
CS17-G2FE-179,PHV63/PHN82,8,293,1,67,67,85,69,46,11.1272736,11.73259729
CS17-G2FE-180,LH195/PHR03,8,291,1,68,69,96,77,50,13.41968726,14.11885297
CS17-G2FE-181,PHHB9/Q381,8,289,1,63,63,89,67,43,9.583498075,10.12113232
CS17-G2FE-182,PHW52/PHR03,8,287,1,68,68,96,76,48,12.33160451,12.99627799
CS17-G2FE-183,PHP38/PHR55,8,285,1,67,68,91,69,47,11.99680982,12.63264074
CS17-G2FE-184,PHV63/LH123HT,8,283,1,66,67,90,68,47,10.56463252,11.14463085
CS17-G2FE-185,PHP38/LH210,8,281,1,66,66,92,75,49,10.00199144,10.56410336
CS17-G2FE-186,PHHB9/PHR55,8,279,1,68,68,96,71,46,13.47548638,14.20585774
CS17-G2FE-187,PHW52/PHZ51,8,277,1,66,68,93,64,46,9.253353309,9.770615759
CS17-G2FE-188,PHV63/PHW53,8,275,1,65,66,81,66,45,10.1182396,10.69902655
CS17-G2FE-189,LH195/Q381,8,273,1,66,67,86,70,41,8.495415324,8.988149413
CS17-G2FE-190,PHW52/PHP60,8,271,1,68,67,90,72,48,10.25773739,10.82601604
CS17-G2FE-191,PHW52/PHW30,8,269,1,67,67,92,64,41,10.85757788,11.47211678
CS17-G2FE-192,LH195/PHW53,8,267,1,67,72,85,69,44,10.47628392,11.05771768
CS17-G2FE-193,PHHB9/LH123HT,8,265,1,68,69,93,64,43,10.59718201,11.20546025
CS17-G2FE-194,PHW52/Q381,8,263,1,63,66,84,68,44,8.328017978,8.82020384
CS17-G2FE-195,PHHB9/NK787,8,261,1,68,70,88,71,42,11.18307272,11.79478679
CS17-G2FE-196,PHP38/LH123HT,8,259,1,68,68,92,69,41,8.035072622,8.517176979
CS17-G2FE-197,PHV63/PHR03,8,257,1,69,68,91,62,47,11.1086739,11.71298576
CS17-G2FE-198,PHV63/PGM49,8,255,1,68,68,87,63,43,10.35538584,10.93735852
CS17-G2FE-199,PHW52/PHN82,9,255,1,68,68,88,69,40,10.6855306,11.27964611
CS17-G2FE-200,LH195/PHW30,9,257,1,69,69,90,69,41,10.55533267,11.1527645
CS17-G2FE-201,PHV63/PHJ65,9,259,1,68,68,92,67,40,10.82037847,11.42631966
CS17-G2FE-202,PHW52/PHW53,9,261,1,68,68,85,64,36,8.886009132,9.385402845
CS17-G2FE-203,LH195/PHM57,9,263,1,73,72,88,71,42,12.48040215,13.19927331
CS17-G2FE-204,PHHB9/PHR03,9,265,1,69,70,99,73,44,12.8244967,13.54010361
CS17-G2FE-205,PHHB9/PHM49,9,267,1,68,69,88,68,31,9.020856994,9.527829157
CS17-G2FE-206,PHP38/PHR63,9,269,1,66,67,91,66,41,10.27633709,10.80248555
CS17-G2FE-207,PHV63/PHN47,9,271,1,69,69,89,68,50,10.85292795,11.48131248
CS17-G2FE-208,LH195/PHN82,9,273,1,69,69,102,79,47,11.3923194,12.01775774
CS17-G2FE-209,LH195/PHZ51,9,275,1,67,68,98,76,47,10.29958672,10.88666317
CS17-G2FE-210,PHHB9/PHP60,9,277,1,70,69,101,74,40,11.17377286,11.78386086
CS17-G2FE-211,PHP38/PHN47,9,279,1,69,68,93,69,44,8.98830751,9.499742208
CS17-G2FE-212,PHV63/PHZ51,9,281,1,64,65,96,71,47,9.597447854,10.14162315
CS17-G2FE-213,PHP38/PHM57,9,283,1,69,70,93,73,42,10.28563694,10.85237554
CS17-G2FE-214,PHV63/PHR63,9,285,1,65,66,95,71,36,10.57393237,11.14703951
CS17-G2FE-215,PHHB9/PHW53,9,287,1,65,66,98,70,41,10.44373444,11.01187359
CS17-G2FE-216,LH195/PHR63,9,289,1,67,68,96,76,46,11.79221306,12.37238994
CS17-G2FE-217,PHP38/PHP60,9,291,1,63,65,87,68,41,8.109471442,8.57576605
CS17-G2FE-218,PHV63/PH210,9,293,1,67,67,96,74,48,9.63929719,10.15692745
CS17-G2FE-219,PHHB9/PHZ51,9,295,1,66,67,99,78,47,8.802310459,9.297880538
CS17-G2FE-220,PHV63/Q381,9,297,1,64,65,88,59,46,7.788626529,8.22946279
CS17-G2FE-221,PHW52/PHN47,9,299,1,69,69,93,72,45,11.24817169,11.83757588
CS17-G2FE-222,LH195/PHP60,9,301,1,69,68,94,73,47,12.31765473,12.90767039
CS17-G2FE-223,LH195/LH185,9,303,1,69,69,87,69,42,10.6855306,11.27109768
CS17-G2FE-224,PHHB9/PHR63,9,305,1,69,68,92,71,43,10.67158083,11.17207797
CS17-G2FE-225,LH195/PHM49,9,307,1,69,69,90,71,45,11.1970225,11.76919035
CS17-G2FE-226,PHP38/PHW30,9,309,1,67,66,92,78,43,8.969707805,9.419987137
CS17-G2FE-227,PHP38/PHR03,9,311,1,68,72,97,79,45,10.32748628,10.83663135
CS17-G2FE-228,PHHB9/LH210,9,313,1,68,67,93,74,45,10.16008893,10.66098132
CS17-G2FE-229,LH195/PHR55,9,315,1,70,70,96,76,41,12.55480097,13.11976702
CS17-G2FE-230,PHP38/PHM49,9,317,1,68,69,91,69,41,9.495149475,9.995543853
CS17-G2FE-231,PHHB9/PHN47,9,319,1,69,70,87,74,45,10.6669309,11.13840925
CS17-G2FE-232,PHHB9/PHN82,10,319,1,69,69,89,67,43,10.65298112,11.12277759
CS17-G2FE-233,Z033E0001/PHZ51,10,317,1,66,67,95,73,44,8.66281267,9.105482398
CS17-G2FE-234,Z032E0081/PHZ51,10,315,1,67,69,94,76,51,9.755545347,9.20533259
CS17-G2FE-235,BGEM-0253-N/LH195,10,313,1,69,69,94,73,47,10.36468569,10.8424977
CS17-G2FE-236,BGEM-0256-N/LH195,10,311,1,69,70,91,72,47,10.53673296,11.03722778
CS17-G2FE-237,Z029E0002/PHZ51,10,309,1,67,68,93,78,55,8.523314882,8.943514305
CS17-G2FE-238,BGEM-0207-N/LH195,10,307,1,68,68,91,71,48,9.690446379,10.15655685
CS17-G2FE-239,Z031E0012/PHZ51,10,305,1,66,67,93,76,52,10.8622278,11.41294275
CS17-G2FE-240,DKB 64-69,10,303,1,67,68,86,68,41,13.03839331,13.65771699
CS17-G2FE-241,Z036E0057/PHZ51,10,301,1,66,67,92,73,51,9.616047559,10.11127401
CS17-G2FE-242,Z032E0034/PHZ51,10,299,1,66,67,91,76,51,7.960673801,8.378609176
CS17-G2FE-243,BGEM-0151-N/LH195,10,297,1,69,68,95,75,51,8.91390869,9.385454459
CS17-G2FE-244,GEMN-0261/3IIH6,10,295,1,64,65,99,78,49,8.532614734,9.075289031
CS17-G2FE-245,Z035E0047/PHZ51,10,293,1,65,68,91,75,50,11.46206829,12.06955791
CS17-G2FE-246,BGEM-0089-N/LH195,10,291,1,69,69,93,73,44,7.793276455,8.206320107
CS17-G2FE-247,Z038E0057/3IIH6,10,289,1,63,66,92,75,46,10.95987626,11.60431698
CS17-G2FE-248,BGEM-0246-N/LH195,10,287,1,69,69,97,75,48,11.22957198,11.85056731
CS17-G2FE-249,Z034E0064/PHZ51,10,285,1,65,66,98,78,56,8.965057879,9.47785919
CS17-G2FE-250,Z033E0056/PHZ51,10,283,1,66,67,96,80,52,10.72737994,11.32382227
CS17-G2FE-251,GEMS-0269/3IIH6,10,281,1,63,66,95,73,45,11.18772264,11.85451091
CS17-G2FE-252,BGEM-0239-N/LH195,10,279,1,68,68,95,76,49,9.741595569,10.30173731
CS17-G2FE-253,Z034E0042/3IIH6,10,277,1,63,63,94,72,40,9.072006183,9.616326554
CS17-G2FE-254,Z037E0012/3IIH6,10,275,1,64,66,97,76,46,11.92706092,12.64268458
CS17-G2FE-255,BGEM-0040-N/LH195,10,273,1,68,69,102,82,52,10.8436281,11.45412436
CS17-G2FE-256,Z036E0034/PHZ51,10,271,1,67,68,96,77,53,9.485849623,10.02844022
CS17-G2FE-257,BGEM-0211-N/LH195,10,269,1,69,69,104,79,52,10.17403871,10.72954123
CS17-G2FE-258,B73/PHZ51,10,267,1,68,68,103,80,49,11.46206829,12.12113722
CS17-G2FE-259,Z038E0057/PHZ51,10,265,1,67,68,101,77,53,9.974091883,10.5515918
CS17-G2FE-260,Z034E0042/PHZ51,10,263,1,67,68,99,78,51,10.40653503,11.02468321
CS17-G2FE-261,GEMN-0266/3IIH6,10,261,1,69,68,90,73,37,8.388467019,8.882547727
